"Ana_Id","Ana_Sam_Fdt_Id","Ana_Sam_Mrs_Container_Id_Desc","Ana_Sam_Mrs_Container_Id","Ana_Sam_Mrs_Lcc_Parm_Group_Cd","Ana_Received_Date","Ana_Sam_Lab_Num","Ana_Lab_Seq_Num","Ana_Value","Ana_Mdl","Ana_Pgc_Spc_Parameter_Code","Ana_Com_Code","Com_Description","Ana_Cas_Num","Ana_Parameter_Name","Ana_Qa_Flag","Ana_Chemist_Name","Ana_Chemist_Sign_Date","Ana_Cbp_Bound","Ana_Cbp_Stored_Date","Ana_Lab_Comment","Ana_Storet_Bound","Ana_Stored_Storet_Date","Ana_Inserted_Date","Ana_Inserted_By","Ana_Changed_Date","Ana_Changed_By","Ana_Valid_Value_Flag","Rep_Timestamp","Ana_Low_Value","Ana_Hi_Value","Ana_Tech_Procedure_Id","Ana_Uncensored_Value","Ana_Analysis_Start","Ana_Meth_Id","Me_Meth_Short_Name","Me_Meth_Long_Name","Me_Meth_Desc","Ana_Pql","Ana_Uncensored_Val_Comment","Uncensored_Val_Comment","Ana_Sam_Id","Ana_Pg_Id","Pg_Parm_Group_Code","Pg_Task_Holding_Hours","Pg_Parm_Name","Pg_Storet_Code","Pg_Lower_Detect_Limit","Pg_Measurement_Unit","Pg_Parm_Short_Name","Pg_Me_Lims_Meth_Id","Loaded_Date","Loaded_By","Fdt_Sta_Id","Fdt_Date_Time"
"956952","179433","R",1,"99999",2001-01-12 00:00:00,"S70857","1",0.89,NA,"00620",NA,NA,NA,"NITRATE, TOTAL (MG/L AS N)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 11:17:49,"WQM_DBA",NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,101169,3527,"99999",NA,"NITRATE NITROGEN, TOTAL (MG/L AS N)","00620",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-01-03 11:20:00
"956886","182287","R",1,"99999",2001-01-12 00:00:00,"S73711","1",50,NA,"00005",NA,NA,NA,"X-SEC. LOC., VERTICAL (% OF TOTAL DEPTH)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 09:40:53,"WQM_DBA",NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,103957,3189,"99999",NA,"X-SEC. LOC., VERTICAL (PERCENT OF TOTAL DEPTH)","00005",NA,"%",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1972-01-17 18:45:00
"957062","190252","R",1,"99999",2001-01-12 00:00:00,"S81676","1",50,NA,"00005",NA,NA,NA,"X-SEC. LOC., VERTICAL (% OF TOTAL DEPTH)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 09:40:53,"WQM_DBA",NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,111696,3189,"99999",NA,"X-SEC. LOC., VERTICAL (PERCENT OF TOTAL DEPTH)","00005",NA,"%",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-02-22 12:00:00
"956972","193316","R",1,"99999",2001-01-12 00:00:00,"S84740","1",0.1,NA,"00610","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"AMMONIA, TOTAL (MG/L AS N)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 11:05:20,"WQM_DBA",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,114488,3522,"99999",NA,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)","00610",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1973-03-08 11:30:00
"956837","198889","R",1,"99999",2001-01-12 00:00:00,"S90313","1",1.5,NA,"00070",NA,NA,NA,"TURBIDITY (JTU)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 10:00:31,"WQM_DBA",NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,119915,3476,"99999",NA,"TURBIDITY, (JACKSON CANDLE UNITS)","00070",NA,"JTU",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1971-04-04 13:20:00
"957187","200158","R",1,"99999",2001-01-12 00:00:00,"S91582","1",441,NA,"00060",NA,NA,NA,"FLOW, STREAM, MEAN DAILY",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 09:57:06,"WQM_DBA",NA,NA,NA,NA,NA,441,NA,NA,NA,NA,NA,NA,NA,NA,121164,3708,"99999",NA,"FLOW, STREAM, MEAN DAILY CFS","00060",NA,"cfs",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1975-04-09 11:45:00
"957082","202466","R",1,"99999",2001-01-12 00:00:00,"S93890","1",0.1,NA,"70505","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"PHOSPHATE, TOTAL, COLORIMETRIC METHOD (MG/L AS P)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 14:45:28,"WQM_DBA",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,123464,4065,"99999",NA,"PHOSPHATE,TOTAL,COLORIMETRIC METHOD (MG/L AS P)","70505",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-04-18 15:15:00
"957100","215652","R",1,"99999",2001-01-12 00:00:00,"S107076","1",0.1,NA,"70507","K","Off-scale low. Actual value not known, may indicate failure to detect substance.",NA,"PHOSPHORUS, IN TOTAL OTHROPHOSPHATE (MG/L AS P)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 14:46:53,"WQM_DBA",NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,136474,4066,"99999",NA,"PHOSPHORUS,IN TOTAL ORTHOPHOSPHATE (MG/L AS P)","70507",NA,"mg/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1974-06-05 13:45:00
"956856","216717","R",1,"99999",2001-01-12 00:00:00,"S108141","1",0.11,NA,"39365",NA,NA,NA,"STORET CONVERSION",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 14:09:12,"WQM_DBA",NA,NA,NA,NA,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,137536,4037,"99999",NA,"DDE IN WHOLE WATER SAMPLE (UG/L)","39365",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1971-06-09 12:00:00
"957210","221319","R",1,"99999",2001-01-12 00:00:00,"S112743","1",29.99,NA,"01092",NA,NA,NA,"ZINC, TOTAL (UG/L AS ZN)",NA,"CONV",2001-01-12,NA,NA,NA,NA,NA,2001-01-12 00:00:00,"STORETCONV",2001-02-14 12:38:49,"WQM_DBA",NA,NA,NA,NA,NA,29.99,NA,NA,NA,NA,NA,NA,NA,NA,171230,3347,"99999",NA,"ZINC, TOTAL (UG/L AS ZN)","01092",NA,"ug/l",NA,116,2021-05-13 04:00:12,"CEDS_PUBLIC","4AROA202.20",1975-06-23 11:00:00
