"Ana_Id","Ana_Sam_Fdt_Id","Ana_Sam_Mrs_Container_Id_Desc","Ana_Sam_Mrs_Container_Id","Ana_Sam_Mrs_Lcc_Parm_Group_Cd","Ana_Received_Date","Ana_Sam_Lab_Num","Ana_Lab_Seq_Num","Ana_Value","Ana_Mdl","Ana_Pgc_Spc_Parameter_Code","Ana_Com_Code","Com_Description","Ana_Cas_Num","Ana_Parameter_Name","Ana_Qa_Flag","Ana_Chemist_Name","Ana_Chemist_Sign_Date","Ana_Cbp_Bound","Ana_Cbp_Stored_Date","Ana_Lab_Comment","Ana_Storet_Bound","Ana_Stored_Storet_Date","Ana_Inserted_Date","Ana_Inserted_By","Ana_Changed_Date","Ana_Changed_By","Ana_Valid_Value_Flag","Rep_Timestamp","Ana_Low_Value","Ana_Hi_Value","Ana_Tech_Procedure_Id","Ana_Uncensored_Value","Ana_Analysis_Start","Ana_Meth_Id","Me_Meth_Short_Name","Me_Meth_Long_Name","Me_Meth_Desc","Ana_Pql","Ana_Uncensored_Val_Comment","Uncensored_Val_Comment","Ana_Sam_Id","Ana_Pg_Id","Pg_Parm_Group_Code","Pg_Task_Holding_Hours","Pg_Parm_Name","Pg_Storet_Code","Pg_Lower_Detect_Limit","Pg_Measurement_Unit","Pg_Parm_Short_Name","Pg_Me_Lims_Meth_Id","Loaded_Date","Loaded_By","Fdt_Sta_Id","Fdt_Date_Time"
"15782828","2575063","R",3,"TN",2010-03-02 00:00:00,"E100202686","1",0.56,0.02,"00600",NA,NA,NA,"NITROGEN, TOTAL (MG/L AS N)",NA,"JARMS",2010-03-01,NA,NA,NA,NA,NA,2010-03-02 02:02:35,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,0.56,2010-02-25,13,"TN","Total Nitrogen","APHA SM 20th ed. 4500 N Part C Total Nitrogen",NA,NA,NA,1035799,2316,"TN","672","NITROGEN, TOTAL (MG/L AS N)","00600",0.1,"mg/l","TN",13,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-02-24 13:45:00
"15782832","2575063","R",4,"NUT4",2010-03-02 00:00:00,"E100202687","1",0.02,0.008,"00610","QQ","Analyte detected above the MDL but below the method quantification limit.",NA,"NITROGEN, AMMONIA, TOTAL (MG/L AS N)",NA,"JARMS",2010-03-01,NA,NA,NA,NA,NA,2010-03-02 02:02:35,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,0.02,2010-02-25,42,"OP-NH3","Ortho phosphate-Ammonia",NA,NA,NA,NA,1035800,1623,"NUT4","48","NITROGEN, AMMONIA, TOTAL (MG/L AS N)","00610",0.04,"mg/l","NH3",190,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-02-24 13:45:00
"15782830","2575063","R",4,"NUT4",2010-03-02 00:00:00,"E100202687","1",0.004,0.004,"00615","U","Material analyzed for, but not detected.  Value stored is the limit of detection for the process in use.  In the case of species, undetermined sex.",NA,"NITRITE NITROGEN, TOTAL (MG/L AS N)",NA,"JARMS",2010-03-01,NA,NA,"Less than the Method Detection Limit as calculated by 40CFR136",NA,NA,2010-03-02 02:02:35,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,0,2010-02-25,46,"NITROGEN","Nitrogen, Nitrate-Nitrite (Colorimetric, Automated, Cadmium Reduction)","A filtered sample is passed through a column containing granulated copper-cadmium to reduce nitrate to nitrite. The nitrite (that originally present plus that reduced to nitrate) is determined by diazotizing with sulfanilamide and coupling with N-(1-naphthyl)-ethylenediamine dihydrochloride to form a highly colored azo dye which is measured colorimetrically.",NA,NA,NA,1035800,1648,"NUT4","48","NITRITE NITROGEN, TOTAL (MG/L AS N)","00615",0.01,"mg/l","NO2",46,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-02-24 13:45:00
"15782829","2575063","R",4,"NUT4",2010-03-02 00:00:00,"E100202687","1",0.25,0.008,"00620",NA,NA,NA,"NITRATE NITROGEN, TOTAL (MG/L AS N)",NA,"JARMS",2010-03-01,NA,NA,NA,NA,NA,2010-03-02 02:02:35,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,0.25,2010-02-25,46,"NITROGEN","Nitrogen, Nitrate-Nitrite (Colorimetric, Automated, Cadmium Reduction)","A filtered sample is passed through a column containing granulated copper-cadmium to reduce nitrate to nitrite. The nitrite (that originally present plus that reduced to nitrate) is determined by diazotizing with sulfanilamide and coupling with N-(1-naphthyl)-ethylenediamine dihydrochloride to form a highly colored azo dye which is measured colorimetrically.",NA,NA,NA,1035800,1673,"NUT4","48","NITRATE NITROGEN, TOTAL (MG/L AS N)","00620",0.04,"mg/l","NO3",46,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-02-24 13:45:00
"15782831","2575063","R",4,"NUT4",2010-03-02 00:00:00,"E100202687","1",0.06,0.004,"70507",NA,NA,NA,"PHOSPHORUS,IN TOTAL ORTHOPHOSPHATE (MG/L AS P)",NA,"JARMS",2010-03-01,NA,NA,NA,NA,NA,2010-03-02 02:02:35,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,0.06,2010-02-25,42,"OP-NH3","Ortho phosphate-Ammonia",NA,NA,NA,NA,1035800,391,"NUT4","48","PHOSPHORUS,IN TOTAL ORTHOPHOSPHATE (MG/L AS P)","70507",0.02,"mg/l","OP",43,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-02-24 13:45:00
"15799243","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",2,2,"00310","U","Material analyzed for, but not detected.  Value stored is the limit of detection for the process in use.  In the case of species, undetermined sex.",NA,"BOD, 5 DAY, 20 DEG C MG/L",NA,"CMORT",2010-04-21,NA,NA,"Less than the Method Detection Limit as calculated by 40CFR136",NA,NA,2010-04-22 02:04:23,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,1.1,2010-04-02,79,"BOD","Biochemical Oxygen Demand or Carbonaceous Biochemical Oxygen Demand","APHA SM 18th Ed. 5210B Biochemical Oxygen Demand or Carbonaceous Biochemical Oxygen Demand",NA,NA,NA,1038617,1343,"NME11","48","BOD_5 DAY_20 DEG C MG/L","00310",2,"mg/l","BOD5",79,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799251","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",6.28,1,"00403","Q","Sample held beyond normal holding time.",NA,"PH, LAB, STANDARD UNITS SU",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:23,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,6.28,2010-04-06,35,"PH","pH in Water by Electrometric Method","APHA SM 18th Ed.4500-H+ The pH of a sample is determined electrometrically using either a glass electrode in combination with a reference potential or a combination electrode.",NA,NA,NA,1038617,1391,"NME11","672","PH, LAB, STANDARD UNITS SU","00403",1,"None","PH",35,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799258","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",52.3,1,"00410",NA,NA,NA,"ALKALINITY, TOTAL (MG/L AS CACO3)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,52.3,2010-04-06,160,"ALK-SM","Alkalinity by Titration Standard Methods 21st Edition","Hydroxyl ions present in a sample as a result of dissociation or hydrolysis of solutes react with additions of standard acid. Alkalinity thus depends on the end-point pH used.",NA,NA,NA,1038617,1412,"NME11","672","ALKALINITY, TOTAL (MG/L AS CACO3)","00410",1,"mg/l","ALK",160,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799264","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",135,1,"00500",NA,NA,NA,"RESIDUE, TOTAL (MG/L)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,135,2010-04-05,23,"SOLIDS_TOT","Solids, residue on evaporation at 105 degrees C, total, gravimetric","Method Source USGS National Water Quality Laboratory Citation Methods for the Determination of Inorganic Substances in Water and Fluvial Sediments, Techniques of Water-Resources Investigations of the United States Geological Survey, Book 5, Chapter A1 Edited by Marvin J. Fishman and Linda C. Friedman",NA,NA,NA,1038617,1442,"NME11","168","TS RESIDUE, TOTAL (MG/L) TOTAL SOLIDS","00500",5,"mg/l","TSOLIDS",23,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799272","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",20,1,"00505",NA,NA,NA,"RESIDUE, TOTAL VOLATILE (MG/L)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,20,2010-04-05,23,"SOLIDS_TOT","Solids, residue on evaporation at 105 degrees C, total, gravimetric","Method Source USGS National Water Quality Laboratory Citation Methods for the Determination of Inorganic Substances in Water and Fluvial Sediments, Techniques of Water-Resources Investigations of the United States Geological Survey, Book 5, Chapter A1 Edited by Marvin J. Fishman and Linda C. Friedman",NA,NA,NA,1038617,1466,"NME11","168","TV RESIDUE, TOTAL VOLATILE (MG/L) TOTAL VOLATILE SOLIDS","00505",5,"mg/l","VSOLIDS",23,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799279","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",115,1,"00510",NA,NA,NA,"RESIDUE, TOTAL FIXED (MG/L)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,115,2010-04-05,23,"SOLIDS_TOT","Solids, residue on evaporation at 105 degrees C, total, gravimetric","Method Source USGS National Water Quality Laboratory Citation Methods for the Determination of Inorganic Substances in Water and Fluvial Sediments, Techniques of Water-Resources Investigations of the United States Geological Survey, Book 5, Chapter A1 Edited by Marvin J. Fishman and Linda C. Friedman",NA,NA,NA,1038617,1479,"NME11","168","TF RESIDUE, TOTAL FIXED (MG/L) TOTAL FIXED SOLIDS","00510",5,"mg/l","FSOLIDS",23,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799286","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",5,1,"00530",NA,NA,NA,"RESIDUE, TOTAL NONFILTRABLE (MG/L)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,5,2010-04-05,6,"TSS","Total Suspended Solids","Total Suspended Solids",NA,NA,NA,1038617,1526,"NME11","168","TSS RESIDUE, TOTAL NONFILTRABLE (MG/L) TOTAL SUSPENDED SOLIDS","00530",3,"mg/l","TSS",6,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799293","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",2,1,"00535","QQ","Analyte detected above the MDL but below the method quantification limit.",NA,"RESIDUE, VOLATILE NONFILTRABLE (MG/L)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,2,2010-04-05,6,"TSS","Total Suspended Solids","Total Suspended Solids",NA,NA,NA,1038617,1559,"NME11","168","TSV RESIDUE, VOLATILE NONFILTRABLE (MG/L) TOTAL SUSPENDED VOLATILE SOLIDS","00535",3,"mg/l","VSS",6,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799300","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",4,1,"00540",NA,NA,NA,"RESIDUE, FIXED NONFILTRABLE (MG/L)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:24,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,4,2010-04-05,6,"TSS","Total Suspended Solids","Total Suspended Solids",NA,NA,NA,1038617,1592,"NME11","168","TSF RESIDUE, FIXED NONFILTRABLE (MG/L) TOTAL SUSPENDED FIXED SOLIDS","00540",3,"mg/l","FSS",6,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799400","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",8.42,1,"00940",NA,NA,NA,"CHLORIDE,TOTAL IN WATER MG/L",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:26,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,8.42,2010-04-02,83,"ANIONS","DETERMINATION OF INORGANIC ANIONS IN DRINKING WATER BY ION CHROMATOGRAPHY","This method covers the determination of Bromide, Chloride, Fluoride, Nitrate, Nitrite,  ortho-Phosphate, Sulfate, Bromate, Bromide, Chlorite, and Chlorate anions in reagent, surface, ground, and finished drinking waters.",NA,NA,NA,1038617,1871,"NME11","672","CHLORIDE,TOTAL IN WATER MG/L","00940",1,"mg/l","CL-H2O",83,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799406","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",28.8,1,"00945",NA,NA,NA,"SULFATE, TOTAL (MG/L AS SO4)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:26,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,28.8,2010-04-02,83,"ANIONS","DETERMINATION OF INORGANIC ANIONS IN DRINKING WATER BY ION CHROMATOGRAPHY","This method covers the determination of Bromide, Chloride, Fluoride, Nitrate, Nitrite,  ortho-Phosphate, Sulfate, Bromate, Bromide, Chlorite, and Chlorate anions in reagent, surface, ground, and finished drinking waters.",NA,NA,NA,1038617,1876,"NME11","672","SULFATE, TOTAL (MG/L AS SO4)","00945",1,"mg/l","SO4-H2O",83,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799414","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",205,NA,"00095",NA,NA,NA,"SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:26,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,205,2010-04-14,68,"CONDUCT","Specific Conductance","APHA SM 18th Ed. 2510-B",NA,NA,NA,1038617,1915,"NME11","672","SPECIFIC CONDUCTANCE (UMHOS/CM @ 25C)","00095",0.05,"umho/cm","COND",68,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799118","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",134,1,"70300",NA,NA,NA,"RESIDUE,TOTAL FILTRABLE (DRIED AT 180C),MG/L",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:20,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,134,2010-04-05,16,"TDS","Total Dissolved Solids","Residue by Evaporation and Gravimetric",NA,NA,NA,1038617,905,"NME11","168","TDS RESIDUE,TOTAL FILTRABLE (DRIED AT 180C),MG/L","70300",5,"mg/l","TDS",16,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
"15799111","2578095","R",2,"NME11",2010-04-22 00:00:00,"E100400049","1",3.02,0.02,"82079",NA,NA,NA,"TURBIDITY,LAB NEPHELOMETRIC TURBIDITY UNITS, NTU",NA,"CMORT",2010-04-21,NA,NA,NA,NA,NA,2010-04-22 02:04:20,"OPS$WQM",2016-01-24 17:07:09,"WQM_DBA",NA,NA,NA,NA,NA,3.02,2010-04-02,5,"TURBIDITY","Turbidity","APHA SM 18th Ed. 2130-B Nephelometric Method",NA,NA,NA,1038617,850,"NME11","48","TURBIDITY,LAB NEPHELOMETRIC TURBIDITY UNITS, NTU","82079",0.1,"NTU","TURBID",5,2021-03-03 04:00:06,"CEDS_PUBLIC","2-JKS006.67",2010-04-01 10:30:00
