"Fdt_Id","Fdt_Run_Id","Fdt_Collector_Id","Fdt_Cag_Code","Cag_Description","Fdt_Storet_Bound","Fdt_Stored_Storet_Date","Fdt_Sta_Id","Fdt_Spg_Code","Spg_Description","Fdt_Ssc_Code","Ssc_Description","Ssc_Long_Desc","Ssc_Mgr_Aprv_Flag","Ssc_Qa_Aprv_Flag","Ssc_Dir_Aprv_Flag","Fdt_Date_Time","Fdt_Depth_Desc","Fdt_Depth","Fdt_Percent_Frb","Fdt_Weather_Code","Fdt_Tide_Code","Fdt_Flow_Cfs","Fdt_Temp_Celcius","Fdt_Field_Ph","Fdt_Do_Probe","Fdt_Specific_Conductance","Fdt_Salinity","Fdt_Do_Winkler","Fdt_Chlorine_Residual","Fdt_Eparu_Z","Fdt_Epar_S","Fdt_Gauge_Height","Fdt_Comment","Fdt_Type","Fdt_Lab_Sent_Date","Fdt_Lab_Rcvd_Date","Fdt_Inserted_Date","Fdt_Inserted_By","Fdt_Changed_Date","Fdt_Changed_By","Fdt_Sta_Order","Rep_Timestamp","Fdt_Shipping_Seal_No","Fdt_Chain_Cust_Ship_Date","Fdt_Do_Satr_Per","Fdt_Turbidity","Fdt_Conductivity","Fdt_Air_Per_Sat","Fdt_Do_Optical","Fdt_Temp_Celcius_Rmk","Temp_Celcius_Remark","Fdt_Field_Ph_Rmk","Field_Ph_Remark","Fdt_Do_Probe_Rmk","Do_Probe_Remark","Fdt_Do_Optical_Rmk","Do_Optical_Remark","Fdt_Specific_Conductance_Rmk","Specific_Conductance_Remark","Fdt_Salinity_Rmk","Salinity_Remark","Fdt_Secchi_Depth_Rmk","Secchi_Depth_Remark","Fdt_Air_Per_Sat_Rmk","Air_Per_Sat_Remark","Fdt_Turbidity_Rmk","Turbidity_Remark","Fdt_Flow_Cfs_Rmk","Flow_Cfs_Remark","Fdt_Gauge_Height_Rmk","Gauge_Height_Remark","Fdt_Air_Temp_Rmk","Air_Temp_Remark","Fdt_Baro_Pressure_Rmk","Baro_Pressure_Remark","Fdt_Do_Winkler_Rmk","Do_Winkler_Remark","Fdt_Chlorine_Residual_Rmk","Chlorine_Residual_Remark","Fdt_Conductivity_Rmk","Conductivity_Remark","Fdt_Air_Temp","Fdt_Baro_Pressure","Fdt_Secchi_Depth","Fdt_Data_Logger","Loaded_Date","Loaded_By"
"365620","SRHIS071988","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-07-19 11:20:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:12,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376461","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 11:25:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376462","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:15:00,"S",0.3,50,NA,NA,NA,20,7.4,NA,385,NA,7.6,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376463","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:20:00,"S",0.3,50,NA,NA,NA,19.7,7.6,NA,370,NA,8.3,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376464","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:25:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376465","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:30:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376466","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:35:00,"S",0.3,50,NA,NA,NA,29.3,7.9,NA,600,NA,7.2,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376467","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:40:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376468","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:45:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"376469","SRHIS100488","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-10-04 12:50:00,"S",0.3,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:14,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
"382467","SRHIS112188","999","DEQ","Virginia Department of Environmental Quality","Y",NA,"2-JKS006.67","AQ","DISCONTINUED (Ambient Water Quality Monitoring Program)","000004","Legacy STORET","On 12/31/1998 USEPA shutdown STORET in advance of Y2K.  On 11/05/1998 VADEQ went live with an inhouse replacement for STORET, the Comprehensive Environmental Data System Water Quality Monitoring or CEDSWQM.",NA,NA,NA,1988-11-21 12:00:00,"S",0.3,50,NA,NA,NA,9.5,7.94,NA,275,NA,10.4,NA,NA,NA,NA,"STORET DATA CONVERSION","NFDT",2001-02-09 00:00:00,NA,2001-01-15 00:00:00,"STORETCONV",2016-02-24 08:58:15,"RESTEWART",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-03 05:28:28,"CEDS_PUBLIC"
